filepath,filename,dataset,label,label_source,split
data/processed/audio/drone/Membo_1_004-membo_000_.wav,Membo_1_004-membo_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/1-36400-A-232.wav,1-36400-A-232.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/DJI_Mavic_Mini1_10.wav,DJI_Mavic_Mini1_10.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_40-bebop_001_.wav,mixed_40-bebop_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_membo_34-membo_000_.wav,mixed_membo_34-membo_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_membo_4-membo_001_.wav,mixed_membo_4-membo_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_49-bebop_000_.wav,mixed_49-bebop_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_64-bebop_004_.wav,mixed_64-bebop_004_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/1-58277-A-31.wav,1-58277-A-31.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/mixed_24-bebop_002_.wav,mixed_24-bebop_002_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/2-118817-A-322.wav,2-118817-A-322.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/mixed_membo_11-membo_000_.wav,mixed_membo_11-membo_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_membo_26-membo_000_.wav,mixed_membo_26-membo_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_membo_31-membo_001_.wav,mixed_membo_31-membo_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/3-151557-B-283.wav,3-151557-B-283.wav,uav_db,no_drone,folder_name,train
data/processed/audio/no_drone/4-165845-A-454.wav,4-165845-A-454.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/Membo_0_010-membo_001_.wav,Membo_0_010-membo_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_54-bebop_001_.wav,mixed_54-bebop_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/5-212730-A-170.wav,5-212730-A-170.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/Membo_0_017-membo_003_.wav,Membo_0_017-membo_003_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/4-150364-B-463.wav,4-150364-B-463.wav,uav_db,no_drone,folder_name,train
data/processed/audio/no_drone/4-201800-A-312.wav,4-201800-A-312.wav,uav_db,no_drone,folder_name,train
data/processed/audio/no_drone/silence184.wav,silence184.wav,uav_db,no_drone,folder_name,train
data/processed/audio/no_drone/3-112557-B-230.wav,3-112557-B-230.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/mixed_membo_66-membo_000_.wav,mixed_membo_66-membo_000_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/1-101336-A-303.wav,1-101336-A-303.wav,uav_db,no_drone,folder_name,train
data/processed/audio/no_drone/2-151079-A-200.wav,2-151079-A-200.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/B_S2_D1_089-bebop_004_.wav,B_S2_D1_089-bebop_004_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/B_S2_D1_123-bebop_002_.wav,B_S2_D1_123-bebop_002_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/4-176914-A-231.wav,4-176914-A-231.wav,uav_db,no_drone,folder_name,train
data/processed/audio/drone/mixed_membo_47-membo_001_.wav,mixed_membo_47-membo_001_.wav,uav_db,drone,folder_name,train
data/processed/audio/drone/mixed_membo_10-membo_003_.wav,mixed_membo_10-membo_003_.wav,uav_db,drone,folder_name,train
data/processed/audio/no_drone/5-180156-C-430.wav,5-180156-C-430.wav,uav_db,no_drone,folder_name,train
