attack,epsilon,scope,slice,n,asr,asr_ci_lo,asr_ci_hi
FGSM,0.001,overall,all,3491,0.22142652535090232,0.20796335950366374,0.2355021183022546
FGSM,0.001,label,drone,2643,0.27203934922436623,0.25541338173921607,0.28932703642558827
FGSM,0.001,label,no_drone,848,0.06367924528301887,0.0491314207254691,0.08216247241147091
FGSM,0.001,source_dataset,alemadi,2628,0.2694063926940639,0.25278970318669186,0.28669625979831453
FGSM,0.001,source_dataset,alemadi_background,67,0.3880597014925373,0.28048871056929325,0.5077712948512505
FGSM,0.001,source_dataset,trident,15,0.7333333333333333,0.4804911034231324,0.8910272389681718
FGSM,0.001,source_dataset,wildlife_other,94,0.23404255319148937,0.15994105293764954,0.3290288739646088
FGSM,0.001,source_dataset,wildlife_xenocanto,687,0.008733624454148471,0.004008615098709471,0.018922256464323207
FGSM,0.001,drone_type,bebop,666,0.13063063063063063,0.10714040522996802,0.15835758713121106
FGSM,0.001,drone_type,drone_alemadi,1314,0.2694063926940639,0.24611580433801666,0.2940413738843129
FGSM,0.001,drone_type,membo,648,0.41203703703703703,0.3747661281777945,0.45034475765704635
FGSM,0.001,drone_type,trident,15,0.7333333333333333,0.4804911034231324,0.8910272389681718
FGSM,0.005,overall,all,3491,0.361787453451733,0.34600733573566117,0.37787142317575856
FGSM,0.005,label,drone,2643,0.46651532349602726,0.4475580662872071,0.4855697793685359
FGSM,0.005,label,no_drone,848,0.03537735849056604,0.024891376634684145,0.05005401227330061
FGSM,0.005,source_dataset,alemadi,2628,0.4642313546423135,0.44522967231506455,0.4833374572568671
FGSM,0.005,source_dataset,alemadi_background,67,0.44776119402985076,0.33476201784797566,0.5664259846816114
FGSM,0.005,source_dataset,trident,15,0.8666666666666667,0.6211750079348376,0.9626395301086407
FGSM,0.005,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
FGSM,0.005,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
FGSM,0.005,drone_type,bebop,666,0.3783783783783784,0.34234135543854427,0.4158104225340391
FGSM,0.005,drone_type,drone_alemadi,1314,0.4642313546423135,0.4374088935194803,0.4912623519473497
FGSM,0.005,drone_type,membo,648,0.5524691358024691,0.5139861643017817,0.5903336581826993
FGSM,0.005,drone_type,trident,15,0.8666666666666667,0.6211750079348376,0.9626395301086407
FGSM,0.01,overall,all,3491,0.4147808650816385,0.39853957950210056,0.43120949982670226
FGSM,0.01,label,drone,2643,0.5380249716231555,0.518976309019668,0.5569632560831324
FGSM,0.01,label,no_drone,848,0.030660377358490566,0.02100789513670569,0.04454607639978654
FGSM,0.01,source_dataset,alemadi,2628,0.5357686453576864,0.5166625427431328,0.5547703276849354
FGSM,0.01,source_dataset,alemadi_background,67,0.3880597014925373,0.28048871056929325,0.5077712948512505
FGSM,0.01,source_dataset,trident,15,0.9333333333333333,0.7018292244757601,0.9881334113938051
FGSM,0.01,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
FGSM,0.01,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
FGSM,0.01,drone_type,bebop,666,0.4624624624624625,0.42491881039214546,0.5004366766364297
FGSM,0.01,drone_type,drone_alemadi,1314,0.5357686453576864,0.5087376480526503,0.5625911064805197
FGSM,0.01,drone_type,membo,648,0.6111111111111112,0.5730258917513603,0.6478866735098935
FGSM,0.01,drone_type,trident,15,0.9333333333333333,0.7018292244757601,0.9881334113938051
FGSM,0.02,overall,all,3491,0.467774276711544,0.4512668847172108,0.4843525150289752
FGSM,0.02,label,drone,2643,0.6076428301172909,0.5888840519162694,0.6260891448175282
FGSM,0.02,label,no_drone,848,0.031839622641509434,0.021972818789746648,0.04592900708961871
FGSM,0.02,source_dataset,alemadi,2628,0.6057838660578386,0.5869584780111125,0.6243004366591322
FGSM,0.02,source_dataset,alemadi_background,67,0.40298507462686567,0.2939031193036935,0.5225888853941111
FGSM,0.02,source_dataset,trident,15,0.9333333333333333,0.7018292244757601,0.9881334113938051
FGSM,0.02,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
FGSM,0.02,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
FGSM,0.02,drone_type,bebop,666,0.5780780780780781,0.5402269493057831,0.6150336376747808
FGSM,0.02,drone_type,drone_alemadi,1314,0.6057838660578386,0.5790890968396563,0.6318619006095061
FGSM,0.02,drone_type,membo,648,0.6342592592592593,0.5964848042153246,0.6704512121420236
FGSM,0.02,drone_type,trident,15,0.9333333333333333,0.7018292244757601,0.9881334113938051
FGSM,0.05,overall,all,3491,0.5674591807505013,0.5509591873984061,0.5838108691329114
FGSM,0.05,label,drone,2643,0.7374195989405978,0.720307356010004,0.7538426649054901
FGSM,0.05,label,no_drone,848,0.03773584905660377,0.026855068742092696,0.052786028851638335
FGSM,0.05,source_dataset,alemadi,2628,0.7359208523592086,0.7187303802028584,0.7524225949609966
FGSM,0.05,source_dataset,alemadi_background,67,0.47761194029850745,0.36250188635242525,0.5951501147316833
FGSM,0.05,source_dataset,trident,15,1.0,0.7961107336956521,1.0
FGSM,0.05,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
FGSM,0.05,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
FGSM,0.05,drone_type,bebop,666,0.8678678678678678,0.8400265755292359,0.8914896515907279
FGSM,0.05,drone_type,drone_alemadi,1314,0.7359208523592086,0.7114215426160247,0.7590447106878625
FGSM,0.05,drone_type,membo,648,0.6003086419753086,0.5621087730842326,0.6373261816655104
FGSM,0.05,drone_type,trident,15,1.0,0.7961107336956521,1.0
PGD,0.001,overall,all,3491,1.0,0.9989007799380666,1.0
PGD,0.001,label,drone,2643,1.0,0.9985486097845824,0.9999999999999998
PGD,0.001,label,no_drone,848,1.0,0.9954902413782094,1.0
PGD,0.001,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD,0.001,source_dataset,alemadi_background,67,1.0,0.9457719757882374,0.9999999999999999
PGD,0.001,source_dataset,trident,15,1.0,0.7961107336956521,1.0
PGD,0.001,source_dataset,wildlife_other,94,1.0,0.9607365374237544,1.0
PGD,0.001,source_dataset,wildlife_xenocanto,687,1.0,0.9944392462758466,0.9999999999999999
PGD,0.001,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD,0.001,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD,0.001,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD,0.001,drone_type,trident,15,1.0,0.7961107336956521,1.0
PGD,0.005,overall,all,3491,1.0,0.9989007799380666,1.0
PGD,0.005,label,drone,2643,1.0,0.9985486097845824,0.9999999999999998
PGD,0.005,label,no_drone,848,1.0,0.9954902413782094,1.0
PGD,0.005,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD,0.005,source_dataset,alemadi_background,67,1.0,0.9457719757882374,0.9999999999999999
PGD,0.005,source_dataset,trident,15,1.0,0.7961107336956521,1.0
PGD,0.005,source_dataset,wildlife_other,94,1.0,0.9607365374237544,1.0
PGD,0.005,source_dataset,wildlife_xenocanto,687,1.0,0.9944392462758466,0.9999999999999999
PGD,0.005,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD,0.005,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD,0.005,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD,0.005,drone_type,trident,15,1.0,0.7961107336956521,1.0
PGD,0.01,overall,all,3491,1.0,0.9989007799380666,1.0
PGD,0.01,label,drone,2643,1.0,0.9985486097845824,0.9999999999999998
PGD,0.01,label,no_drone,848,1.0,0.9954902413782094,1.0
PGD,0.01,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD,0.01,source_dataset,alemadi_background,67,1.0,0.9457719757882374,0.9999999999999999
PGD,0.01,source_dataset,trident,15,1.0,0.7961107336956521,1.0
PGD,0.01,source_dataset,wildlife_other,94,1.0,0.9607365374237544,1.0
PGD,0.01,source_dataset,wildlife_xenocanto,687,1.0,0.9944392462758466,0.9999999999999999
PGD,0.01,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD,0.01,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD,0.01,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD,0.01,drone_type,trident,15,1.0,0.7961107336956521,1.0
PGD,0.02,overall,all,3491,1.0,0.9989007799380666,1.0
PGD,0.02,label,drone,2643,1.0,0.9985486097845824,0.9999999999999998
PGD,0.02,label,no_drone,848,1.0,0.9954902413782094,1.0
PGD,0.02,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD,0.02,source_dataset,alemadi_background,67,1.0,0.9457719757882374,0.9999999999999999
PGD,0.02,source_dataset,trident,15,1.0,0.7961107336956521,1.0
PGD,0.02,source_dataset,wildlife_other,94,1.0,0.9607365374237544,1.0
PGD,0.02,source_dataset,wildlife_xenocanto,687,1.0,0.9944392462758466,0.9999999999999999
PGD,0.02,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD,0.02,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD,0.02,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD,0.02,drone_type,trident,15,1.0,0.7961107336956521,1.0
PGD,0.05,overall,all,3491,1.0,0.9989007799380666,1.0
PGD,0.05,label,drone,2643,1.0,0.9985486097845824,0.9999999999999998
PGD,0.05,label,no_drone,848,1.0,0.9954902413782094,1.0
PGD,0.05,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD,0.05,source_dataset,alemadi_background,67,1.0,0.9457719757882374,0.9999999999999999
PGD,0.05,source_dataset,trident,15,1.0,0.7961107336956521,1.0
PGD,0.05,source_dataset,wildlife_other,94,1.0,0.9607365374237544,1.0
PGD,0.05,source_dataset,wildlife_xenocanto,687,1.0,0.9944392462758466,0.9999999999999999
PGD,0.05,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD,0.05,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
PGD,0.05,drone_type,membo,648,1.0,0.9941065436756417,1.0
PGD,0.05,drone_type,trident,15,1.0,0.7961107336956521,1.0
