snr_db,accuracy,asr,conditional_asr,clean_correct,flipped,total,avg_confidence
40,0.937570303712036,0.06242969628796402,0.052706960756230305,3491,184,3556,0.890764067265864
35,0.8931383577052868,0.10686164229471318,0.09968490403895731,3491,348,3556,0.8618167094258786
30,0.8681102362204725,0.13188976377952755,0.12489258092237181,3491,436,3556,0.8400324985593939
25,0.8953880764904387,0.10461192350956128,0.09682039530220567,3491,338,3556,0.8353528925255009
20,0.9403824521934758,0.059617547806524174,0.05070180464050415,3491,177,3556,0.8358681281291368
15,0.9356017997750281,0.06439820022497189,0.05413921512460613,3491,189,3556,0.8232058405481212
10,0.9043869516310461,0.0956130483689539,0.08851331996562589,3491,309,3556,0.7959788556014794
5,0.8990438695163104,0.10095613048368957,0.09309653394442853,3491,325,3556,0.7590962742550635
0,0.891169853768279,0.10883014623172105,0.10254941277570896,3491,358,3556,0.6987884244551574
-5,0.8267716535433071,0.17322834645669294,0.1681466628473217,3491,587,3556,0.6066171236106854
