model,scope,n,accuracy,balanced_accuracy,f1_drone,auc_roc
CNN14,overall,3556,0.9817210348706412,0.9879985228951256,0.9878527378060176,0.9990977118809398
CNN14,source:alemadi,2664,0.9864864864864865,,,
CNN14,source:alemadi_background,67,1.0,,,
CNN14,source:trident,44,0.3409090909090909,,,
CNN14,source:wildlife_other,94,1.0,,,
CNN14,source:wildlife_xenocanto,687,1.0,,,
CNN14,drone_type:bebop,666,1.0,,,
CNN14,drone_type:drone_alemadi,1332,0.9864864864864865,,,
CNN14,drone_type:membo,666,0.972972972972973,,,
CNN14,drone_type:trident,44,0.3409090909090909,,,
ProxyAudioCNN,overall,3556,0.6886951631046119,0.7854809996934311,0.7460426703372333,0.9766672298709624
ProxyAudioCNN,source:alemadi,2664,0.6021021021021021,,,
ProxyAudioCNN,source:alemadi_background,67,0.6417910447761194,,,
ProxyAudioCNN,source:trident,44,0.5,,,
ProxyAudioCNN,source:wildlife_other,94,1.0,,,
ProxyAudioCNN,source:wildlife_xenocanto,687,0.9985443959243085,,,
ProxyAudioCNN,drone_type:bebop,666,0.6861861861861862,,,
ProxyAudioCNN,drone_type:drone_alemadi,1332,0.6021021021021021,,,
ProxyAudioCNN,drone_type:membo,666,0.5180180180180181,,,
ProxyAudioCNN,drone_type:trident,44,0.5,,,
