attack,epsilon,scope,slice,n,asr,asr_ci_lo,asr_ci_hi
EOT-PGD_transfer,0.001,overall,all,3491,0.7585219134918362,0.7440454558673274,0.7724300261688256
EOT-PGD_transfer,0.001,label,drone,2643,0.9973514945138101,0.9945428029734885,0.9987164838686103
EOT-PGD_transfer,0.001,label,no_drone,848,0.014150943396226415,0.008113091952583279,0.02457091878368506
EOT-PGD_transfer,0.001,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
EOT-PGD_transfer,0.001,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
EOT-PGD_transfer,0.001,source_dataset,trident,15,0.5333333333333333,0.3011663015105079,0.7519077474025355
EOT-PGD_transfer,0.001,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
EOT-PGD_transfer,0.001,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
EOT-PGD_transfer,0.001,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
EOT-PGD_transfer,0.001,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
EOT-PGD_transfer,0.001,drone_type,membo,648,1.0,0.9941065436756417,1.0
EOT-PGD_transfer,0.001,drone_type,trident,15,0.5333333333333333,0.3011663015105079,0.7519077474025355
EOT-PGD_transfer,0.005,overall,all,3491,0.758235462618161,0.7437535948868511,0.7721496151470458
EOT-PGD_transfer,0.005,label,drone,2643,0.9969731365872115,0.9940382088929611,0.9984654603859258
EOT-PGD_transfer,0.005,label,no_drone,848,0.014150943396226415,0.008113091952583279,0.02457091878368506
EOT-PGD_transfer,0.005,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
EOT-PGD_transfer,0.005,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
EOT-PGD_transfer,0.005,source_dataset,trident,15,0.4666666666666667,0.24809225259746442,0.6988336984894921
EOT-PGD_transfer,0.005,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
EOT-PGD_transfer,0.005,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
EOT-PGD_transfer,0.005,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
EOT-PGD_transfer,0.005,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
EOT-PGD_transfer,0.005,drone_type,membo,648,1.0,0.9941065436756417,1.0
EOT-PGD_transfer,0.005,drone_type,trident,15,0.4666666666666667,0.24809225259746442,0.6988336984894921
EOT-PGD_transfer,0.01,overall,all,3491,0.758235462618161,0.7437535948868511,0.7721496151470458
EOT-PGD_transfer,0.01,label,drone,2643,0.9962164207340144,0.9930488989729781,0.9979435351794849
EOT-PGD_transfer,0.01,label,no_drone,848,0.01650943396226415,0.009859308627955907,0.027520410794058703
EOT-PGD_transfer,0.01,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
EOT-PGD_transfer,0.01,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
EOT-PGD_transfer,0.01,source_dataset,trident,15,0.3333333333333333,0.15176100694691236,0.5828687484878701
EOT-PGD_transfer,0.01,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
EOT-PGD_transfer,0.01,source_dataset,wildlife_xenocanto,687,0.002911208151382824,0.0007987049307705621,0.010552088073009174
EOT-PGD_transfer,0.01,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
EOT-PGD_transfer,0.01,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
EOT-PGD_transfer,0.01,drone_type,membo,648,1.0,0.9941065436756417,1.0
EOT-PGD_transfer,0.01,drone_type,trident,15,0.3333333333333333,0.15176100694691236,0.5828687484878701
EOT-PGD_transfer,0.02,overall,all,3491,0.7674018905757662,0.7530974955074624,0.7811184185986305
EOT-PGD_transfer,0.02,label,drone,2643,0.9954597048808173,0.9920803489464131,0.997400850079626
EOT-PGD_transfer,0.02,label,no_drone,848,0.05660377358490566,0.04295670379317748,0.07425006328652373
EOT-PGD_transfer,0.02,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
EOT-PGD_transfer,0.02,source_dataset,alemadi_background,67,0.29850746268656714,0.2023136115497689,0.41655439820720996
EOT-PGD_transfer,0.02,source_dataset,trident,15,0.2,0.07047420643610414,0.4518593533465045
EOT-PGD_transfer,0.02,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
EOT-PGD_transfer,0.02,source_dataset,wildlife_xenocanto,687,0.040756914119359534,0.02834657398771833,0.05827472965120555
EOT-PGD_transfer,0.02,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
EOT-PGD_transfer,0.02,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
EOT-PGD_transfer,0.02,drone_type,membo,648,1.0,0.9941065436756417,1.0
EOT-PGD_transfer,0.02,drone_type,trident,15,0.2,0.07047420643610414,0.4518593533465045
EOT-PGD_transfer,0.05,overall,all,3491,0.8676596963620739,0.8560135490303106,0.878497565865426
EOT-PGD_transfer,0.05,label,drone,2643,0.9943246311010215,0.990656720360911,0.9965576259754921
EOT-PGD_transfer,0.05,label,no_drone,848,0.47287735849056606,0.4394715216868559,0.506527828427062
EOT-PGD_transfer,0.05,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
EOT-PGD_transfer,0.05,source_dataset,alemadi_background,67,0.8805970149253731,0.7816775692760262,0.9382384122941246
EOT-PGD_transfer,0.05,source_dataset,trident,15,0.0,0.0,0.20388926630434784
EOT-PGD_transfer,0.05,source_dataset,wildlife_other,94,0.031914893617021274,0.01091242972824407,0.0896746416197306
EOT-PGD_transfer,0.05,source_dataset,wildlife_xenocanto,687,0.49344978165938863,0.4562041568912021,0.5307682547296382
EOT-PGD_transfer,0.05,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
EOT-PGD_transfer,0.05,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
EOT-PGD_transfer,0.05,drone_type,membo,648,1.0,0.9941065436756417,1.0
EOT-PGD_transfer,0.05,drone_type,trident,15,0.0,0.0,0.20388926630434784
PGD_transfer,0.001,overall,all,3491,0.7404755084503007,0.7256747127800345,0.7547476331139826
PGD_transfer,0.001,label,drone,2643,0.9731365872115021,0.9662520209742103,0.9786477418223243
PGD_transfer,0.001,label,no_drone,848,0.015330188679245283,0.00898053171177161,0.026051333367369863
PGD_transfer,0.001,source_dataset,alemadi,2628,0.9779299847792998,0.9715763576369407,0.9828883791466103
PGD_transfer,0.001,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
PGD_transfer,0.001,source_dataset,trident,15,0.13333333333333333,0.0373604698913593,0.3788249920651624
PGD_transfer,0.001,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
PGD_transfer,0.001,source_dataset,wildlife_xenocanto,687,0.001455604075691412,0.0002569894782984304,0.008198783885668068
PGD_transfer,0.001,drone_type,bebop,666,0.987987987987988,0.9764775668573253,0.9939011017711983
PGD_transfer,0.001,drone_type,drone_alemadi,1314,0.9779299847792998,0.9684834169757587,0.9845901542334062
PGD_transfer,0.001,drone_type,membo,648,0.9675925925925926,0.9509661610617716,0.9787075510793376
PGD_transfer,0.001,drone_type,trident,15,0.13333333333333333,0.0373604698913593,0.3788249920651624
PGD_transfer,0.005,overall,all,3491,0.7570896591234604,0.7425862373673864,0.7710278846574861
PGD_transfer,0.005,label,drone,2643,0.9954597048808173,0.9920803489464131,0.997400850079626
PGD_transfer,0.005,label,no_drone,848,0.014150943396226415,0.008113091952583279,0.02457091878368506
PGD_transfer,0.005,source_dataset,alemadi,2628,1.0,0.9985403376859763,1.0
PGD_transfer,0.005,source_dataset,alemadi_background,67,0.1791044776119403,0.10553487941259442,0.28747713612629794
PGD_transfer,0.005,source_dataset,trident,15,0.2,0.07047420643610414,0.4518593533465045
PGD_transfer,0.005,source_dataset,wildlife_other,94,0.0,3.469446951953614e-18,0.03926346257624569
PGD_transfer,0.005,source_dataset,wildlife_xenocanto,687,0.0,0.0,0.005560753724153265
PGD_transfer,0.005,drone_type,bebop,666,1.0,0.9942649127793793,0.9999999999999999
PGD_transfer,0.005,drone_type,drone_alemadi,1314,1.0,0.9970849303892061,0.9999999999999999
