snr_db,accuracy,asr,conditional_asr,clean_correct,flipped,total,avg_confidence
40,0.926829268292683,0.07317073170731703,0.07,400,28,410,0.8317868124784493
35,0.9243902439024391,0.07560975609756093,0.065,400,26,410,0.8226893685621822
30,0.926829268292683,0.07317073170731703,0.0625,400,25,410,0.8188330205838855
25,0.8804878048780488,0.11951219512195121,0.105,400,42,410,0.8031215891242027
20,0.8219512195121951,0.17804878048780493,0.165,400,66,410,0.7809598456613901
15,0.8048780487804879,0.19512195121951215,0.185,400,74,410,0.7587326982035869
10,0.7780487804878049,0.2219512195121951,0.2125,400,85,410,0.733108463519957
5,0.7390243902439024,0.26097560975609757,0.2525,400,101,410,0.6977777507065273
0,0.6536585365853659,0.3463414634146341,0.3325,400,133,410,0.6395964745523
-5,0.6,0.4,0.385,400,154,410,0.574466374276558
